raw_id,t_group,t_start,sorted_record_index,source_t_group,source_record_index,element,edge_x,edge_y,edge_z,edge_L,edge_tcoord,edge_tL,edge_dir,source_h0,source_h1,source_h2,source_h3,source_h4,source_h5,source_h6,source_h7,face_axis,face_axis_role,face_side,h0,h1,h2,h3,t0,t1,t2,t3,A,B,root_num,root_den,u_num,u_den,v_num,v_den,logical_incidence_id,canonical_event_id
cache=0:1:1348167;source=0:152527;face=0:1,0,1,1348167,0,152527,4,758,1138,1091,11,1,1,2,1115429:0,1115432:0,1115434:0,1115431:0,1115429:0,1115430:0,1115438:0,1115431:0,0,temporal_neighbour,1,1115429:0,1115430:0,1115431:0,1115438:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1115429:0|1115430:0|1115431:0|1115438:0;edge=758,1138,1091,11,1,1,2,4","element=4;role=temporal_neighbour;face=1115429:0|1115430:0|1115431:0|1115438:0"
cache=0:1:1348168;source=0:152532;face=0:0,0,1,1348168,0,152532,4,758,1138,1092,11,1,1,2,1115459:0,1115464:0,1115462:0,1115461:0,1115459:0,1115470:0,1115460:0,1115461:0,0,temporal_neighbour,0,1115459:0,1115462:0,1115461:0,1115464:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1115459:0|1115462:0|1115461:0|1115464:0;edge=758,1138,1092,11,1,1,2,4","element=4;role=temporal_neighbour;face=1115459:0|1115462:0|1115461:0|1115464:0"
cache=0:1:1348168;source=0:152532;face=0:1,0,1,1348168,0,152532,4,758,1138,1092,11,1,1,2,1115459:0,1115464:0,1115462:0,1115461:0,1115459:0,1115470:0,1115460:0,1115461:0,0,temporal_neighbour,1,1115459:0,1115460:0,1115461:0,1115470:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1115459:0|1115460:0|1115461:0|1115470:0;edge=758,1138,1092,11,1,1,2,4","element=4;role=temporal_neighbour;face=1115459:0|1115460:0|1115461:0|1115470:0"
cache=0:1:1348208;source=0:165496;face=0:0,0,1,1348208,0,165496,4,768,1132,1080,11,1,1,2,1100081:0,1127205:0,1115277:0,1127256:0,1100081:0,1127203:0,1115279:0,1127256:0,0,temporal_neighbour,0,1100081:0,1115277:0,1127256:0,1127205:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100081:0|1115277:0|1127256:0|1127205:0;edge=768,1132,1080,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100081:0|1115277:0|1127256:0|1127205:0"
cache=0:1:1348208;source=0:165496;face=0:1,0,1,1348208,0,165496,4,768,1132,1080,11,1,1,2,1100081:0,1127205:0,1115277:0,1127256:0,1100081:0,1127203:0,1115279:0,1127256:0,0,temporal_neighbour,1,1100081:0,1115279:0,1127256:0,1127203:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100081:0|1115279:0|1127256:0|1127203:0;edge=768,1132,1080,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100081:0|1115279:0|1127256:0|1127203:0"
cache=0:1:1348209;source=0:165503;face=0:0,0,1,1348209,0,165503,1,768,1132,1081,11,1,1,2,17358:0,34939:0,56906:0,56949:0,17358:0,34941:0,56900:0,56949:0,0,temporal_neighbour,0,17358:0,34939:0,56949:0,56906:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=17358:0|34939:0|56949:0|56906:0;edge=768,1132,1081,11,1,1,2,1","element=1;role=temporal_neighbour;face=17358:0|34939:0|56949:0|56906:0"
cache=0:1:1348209;source=0:165503;face=0:1,0,1,1348209,0,165503,1,768,1132,1081,11,1,1,2,17358:0,34939:0,56906:0,56949:0,17358:0,34941:0,56900:0,56949:0,0,temporal_neighbour,1,17358:0,34941:0,56949:0,56900:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=1;role=temporal_neighbour;face=17358:0|34941:0|56949:0|56900:0;edge=768,1132,1081,11,1,1,2,1","element=1;role=temporal_neighbour;face=17358:0|34941:0|56949:0|56900:0"
cache=0:1:1348210;source=0:165504;face=0:0,0,1,1348210,0,165504,4,768,1132,1081,11,1,1,2,1100081:0,1115278:0,1127207:0,1127260:0,1100081:0,1115280:0,1127203:0,1127260:0,0,temporal_neighbour,0,1100081:0,1115278:0,1127260:0,1127207:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100081:0|1115278:0|1127260:0|1127207:0;edge=768,1132,1081,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100081:0|1115278:0|1127260:0|1127207:0"
cache=0:1:1348210;source=0:165504;face=0:1,0,1,1348210,0,165504,4,768,1132,1081,11,1,1,2,1100081:0,1115278:0,1127207:0,1127260:0,1100081:0,1115280:0,1127203:0,1127260:0,0,temporal_neighbour,1,1100081:0,1115280:0,1127260:0,1127203:0,2,3,2,3,-2,-5,5,2,1,2,1,2,"element=4;role=temporal_neighbour;face=1100081:0|1115280:0|1127260:0|1127203:0;edge=768,1132,1081,11,1,1,2,4","element=4;role=temporal_neighbour;face=1100081:0|1115280:0|1127260:0|1127203:0"
cache=0:1:1348212;source=0:165508;face=0:0,0,1,1348212,0,165508,2,768,1132,1082,11,1,1,2,382858:0,411758:0,447714:0,447801:0,382858:0,411765:0,447696:0,447801:0,0,temporal_neighbour,0,382858:0,411758:0,447801:0,447714:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=382858:0|411758:0|447801:0|447714:0;edge=768,1132,1082,11,1,1,2,2","element=2;role=temporal_neighbour;face=382858:0|411758:0|447801:0|447714:0"
